tech,tech_id,mode,activity_unit,input_commodities,output_commodities,mode_is_active
DEMAGRSURPHL,TEC_mcc1b,10,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,11,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,12,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,13,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,14,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,15,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,16,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,17,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,18,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,19,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,20,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,21,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,22,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,23,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,24,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,25,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,26,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,27,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,28,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,29,10<sup>9</sup>m<sup>3</sup>,,,no
DEMAGRSURPHL,TEC_mcc1b,30,10<sup>9</sup>m<sup>3</sup>,,,no
LNDAGRPHLC01,TEC_ibnh8,1,10<sup>3</sup>km<sup>2</sup>,LTOMHRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,2,10<sup>3</sup>km<sup>2</sup>,LCONLITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,3,10<sup>3</sup>km<sup>2</sup>,LSGCHRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,4,10<sup>3</sup>km<sup>2</sup>,LMZEHRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,5,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMHITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,6,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCHITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,7,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZELITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,8,10<sup>3</sup>km<sup>2</sup>,LCONHRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,9,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCLITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,10,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZEHITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,12,10<sup>3</sup>km<sup>2</sup>,LTOMLRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,13,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMLITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,15,10<sup>3</sup>km<sup>2</sup>,LMZELRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,16,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONHITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,18,10<sup>3</sup>km<sup>2</sup>,LSGCLRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,20,10<sup>3</sup>km<sup>2</sup>,LCONLRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,21,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHLITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,22,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHHITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,23,10<sup>3</sup>km<sup>2</sup>,LOTHLRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,24,10<sup>3</sup>km<sup>2</sup>,LOTHHRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,25,10<sup>3</sup>km<sup>2</sup>,LBARTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,26,10<sup>3</sup>km<sup>2</sup>,LBLTTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,28,10<sup>3</sup>km<sup>2</sup>,LGRSTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,29,10<sup>3</sup>km<sup>2</sup>,LOTHTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC01,TEC_ibnh8,30,10<sup>3</sup>km<sup>2</sup>,LWATTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,1,10<sup>3</sup>km<sup>2</sup>,LTOMHRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,2,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONLITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,3,10<sup>3</sup>km<sup>2</sup>,LSGCHRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,4,10<sup>3</sup>km<sup>2</sup>,LMZEHRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,5,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMHITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,6,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCHITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,7,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZELITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,8,10<sup>3</sup>km<sup>2</sup>,LCONHRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,9,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCLITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,10,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZEHITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,12,10<sup>3</sup>km<sup>2</sup>,LTOMLRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,13,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMLITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,15,10<sup>3</sup>km<sup>2</sup>,LMZELRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,16,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONHITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,18,10<sup>3</sup>km<sup>2</sup>,LSGCLRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,20,10<sup>3</sup>km<sup>2</sup>,LCONLRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,21,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHLITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,22,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHHITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,23,10<sup>3</sup>km<sup>2</sup>,LOTHLRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,24,10<sup>3</sup>km<sup>2</sup>,LOTHHRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,25,10<sup>3</sup>km<sup>2</sup>,LBARTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,26,10<sup>3</sup>km<sup>2</sup>,LBLTTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,28,10<sup>3</sup>km<sup>2</sup>,LGRSTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,29,10<sup>3</sup>km<sup>2</sup>,LOTHTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC02,TEC_9lvqs,30,10<sup>3</sup>km<sup>2</sup>,LWATTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,1,10<sup>3</sup>km<sup>2</sup>,LTOMHRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,2,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONLITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,3,10<sup>3</sup>km<sup>2</sup>,LSGCHRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,4,10<sup>3</sup>km<sup>2</sup>,LMZEHRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,5,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMHITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,6,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCHITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,7,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZELITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,8,10<sup>3</sup>km<sup>2</sup>,LCONHRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,9,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCLITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,10,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZEHITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,12,10<sup>3</sup>km<sup>2</sup>,LTOMLRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,13,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMLITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,15,10<sup>3</sup>km<sup>2</sup>,LMZELRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,16,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONHITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,18,10<sup>3</sup>km<sup>2</sup>,LSGCLRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,20,10<sup>3</sup>km<sup>2</sup>,LCONLRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,21,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHLITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,22,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHHITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,23,10<sup>3</sup>km<sup>2</sup>,LOTHLRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,24,10<sup>3</sup>km<sup>2</sup>,LOTHHRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,25,10<sup>3</sup>km<sup>2</sup>,LBARTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,26,10<sup>3</sup>km<sup>2</sup>,LBLTTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,28,10<sup>3</sup>km<sup>2</sup>,LGRSTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,29,10<sup>3</sup>km<sup>2</sup>,LOTHTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC03,TEC_3mwof,30,10<sup>3</sup>km<sup>2</sup>,LWATTOT;PHL_WTR_PRC,PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,1,10<sup>3</sup>km<sup>2</sup>,LTOMHRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,2,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONLITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,3,10<sup>3</sup>km<sup>2</sup>,LSGCHRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,4,10<sup>3</sup>km<sup>2</sup>,LMZEHRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,5,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMHITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,6,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCHITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,7,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZELITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,8,10<sup>3</sup>km<sup>2</sup>,LCONHRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,9,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LSGCLITOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,10,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LMZEHITOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,12,10<sup>3</sup>km<sup>2</sup>,LTOMLRTOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,13,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LTOMLITOT;PHL_WTR_PRC,CRPTOM;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,15,10<sup>3</sup>km<sup>2</sup>,LMZELRTOT;PHL_WTR_PRC,CRPMZE;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,16,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LCONHITOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,18,10<sup>3</sup>km<sup>2</sup>,LSGCLRTOT;PHL_WTR_PRC,CRPSGC;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,20,10<sup>3</sup>km<sup>2</sup>,LCONLRTOT;PHL_WTR_PRC,CRPCON;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,21,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHLITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,22,10<sup>3</sup>km<sup>2</sup>,AGRWATPHL;LOTHHITOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,23,10<sup>3</sup>km<sup>2</sup>,LOTHLRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
LNDAGRPHLC04,TEC_ckkki,24,10<sup>3</sup>km<sup>2</sup>,LOTHHRTOT;PHL_WTR_PRC,CRPOTH;PHL_WTR_EVT;PHL_WTR_GWT;PHL_WTR_SUR,yes
