run,region,year,emission,unit,value,equation,interpretation
Base_v12,RE1,2020,CO2e,MTon,97.27340000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2035,CO2e,MTon,173.3879,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2036,CO2e,MTon,178.1713,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2037,CO2e,MTon,186.2277,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2038,CO2e,MTon,193.0781,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2039,CO2e,MTon,199.4743,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2040,CO2e,MTon,186.23190000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2041,CO2e,MTon,192.7779,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2042,CO2e,MTon,199.6848,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2043,CO2e,MTon,206.50039999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2044,CO2e,MTon,213.4417,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2045,CO2e,MTon,214.5384,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2046,CO2e,MTon,221.3636,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2047,CO2e,MTon,228.4976,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2048,CO2e,MTon,237.6559,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2049,CO2e,MTon,246.8185,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2050,CO2e,MTon,248.2111,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2051,CO2e,MTon,252.0323,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2052,CO2e,MTon,258.557,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2053,CO2e,MTon,263.8763,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2020,PM2_5,MTon,0.22269999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2021,PM2_5,MTon,0.07790000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2022,PM2_5,MTon,0.08020000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2023,PM2_5,MTon,0.08220000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2024,PM2_5,MTon,0.0847,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2025,PM2_5,MTon,0.08730000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2026,PM2_5,MTon,0.08940000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2027,PM2_5,MTon,0.09160000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2028,PM2_5,MTon,0.0938,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2029,PM2_5,MTon,0.09620000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2030,PM2_5,MTon,0.09839999999999999,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2031,PM2_5,MTon,0.1009,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2032,PM2_5,MTon,0.10350000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2033,PM2_5,MTon,0.1065,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2034,PM2_5,MTon,0.1097,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2035,PM2_5,MTon,0.11280000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2036,PM2_5,MTon,0.11570000000000003,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2037,PM2_5,MTon,0.11879999999999999,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2038,PM2_5,MTon,0.1218,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2039,PM2_5,MTon,0.12500000000000003,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2040,PM2_5,MTon,0.12739999999999999,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2041,PM2_5,MTon,0.1308,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2042,PM2_5,MTon,0.13399999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2043,PM2_5,MTon,0.1374,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2044,PM2_5,MTon,0.14079999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2045,PM2_5,MTon,0.14389999999999997,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2046,PM2_5,MTon,0.14709999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2047,PM2_5,MTon,0.1505,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2048,PM2_5,MTon,0.1543,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2049,PM2_5,MTon,0.1578,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2050,PM2_5,MTon,0.16010000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2051,PM2_5,MTon,0.16339999999999996,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2052,PM2_5,MTon,0.16679999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
Base_v12,RE1,2053,PM2_5,MTon,0.1703,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2020,CO2e,MTon,97.27340000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2021,CO2e,MTon,130.8453,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2022,CO2e,MTon,137.845,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2023,CO2e,MTon,144.3898,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2024,CO2e,MTon,151.9763,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2025,CO2e,MTon,152.43689999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2026,CO2e,MTon,150.2398,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2027,CO2e,MTon,145.9666,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2028,CO2e,MTon,148.3268,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2029,CO2e,MTon,153.8201,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2030,CO2e,MTon,146.60500000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2031,CO2e,MTon,151.3733,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2032,CO2e,MTon,144.8855,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2033,CO2e,MTon,148.9468,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2034,CO2e,MTon,152.9963,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2035,CO2e,MTon,147.37980000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2036,CO2e,MTon,142.9493,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2037,CO2e,MTon,140.3514,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2038,CO2e,MTon,137.7067,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2039,CO2e,MTon,134.85920000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2040,CO2e,MTon,132.0892,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2041,CO2e,MTon,133.5578,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2042,CO2e,MTon,135.1621,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2043,CO2e,MTon,136.962,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2044,CO2e,MTon,139.8994,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2045,CO2e,MTon,143.04840000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2046,CO2e,MTon,142.8467,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2047,CO2e,MTon,142.446,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2048,CO2e,MTon,144.0709,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2049,CO2e,MTon,143.9649,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2050,CO2e,MTon,145.5556,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2051,CO2e,MTon,144.6063,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2052,CO2e,MTon,143.4561,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2053,CO2e,MTon,139.5091,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2020,PM2_5,MTon,0.22269999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2021,PM2_5,MTon,0.07790000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2022,PM2_5,MTon,0.08020000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2023,PM2_5,MTon,0.08220000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2024,PM2_5,MTon,0.0847,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2025,PM2_5,MTon,0.08730000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2026,PM2_5,MTon,0.08850000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2027,PM2_5,MTon,0.08960000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2028,PM2_5,MTon,0.0907,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2029,PM2_5,MTon,0.0916,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2030,PM2_5,MTon,0.09190000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2031,PM2_5,MTon,0.0931,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2032,PM2_5,MTon,0.09380000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2033,PM2_5,MTon,0.0952,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2034,PM2_5,MTon,0.09640000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2035,PM2_5,MTon,0.0974,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2036,PM2_5,MTon,0.09860000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2037,PM2_5,MTon,0.0996,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2038,PM2_5,MTon,0.10080000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2039,PM2_5,MTon,0.10200000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2040,PM2_5,MTon,0.1033,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2041,PM2_5,MTon,0.10620000000000002,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2042,PM2_5,MTon,0.1088,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2043,PM2_5,MTon,0.1115,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2044,PM2_5,MTon,0.11430000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2045,PM2_5,MTon,0.1171,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2046,PM2_5,MTon,0.1199,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2047,PM2_5,MTon,0.12240000000000001,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2048,PM2_5,MTon,0.12609999999999996,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2049,PM2_5,MTon,0.12919999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2050,PM2_5,MTon,0.13259999999999997,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2051,PM2_5,MTon,0.1362,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2052,PM2_5,MTon,0.1397,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
PEP_v12,RE1,2053,PM2_5,MTon,0.14329999999999998,sum of native AnnualTechnologyEmission over technologies,Native MUIO/OSeMOSYS emissions account; no new factor added
