factor_id,source_id,nfr_category,technology_or_fuel,pollutant,value,unit,lower_95,upper_95,exact_locator,model_application,boundary_note
EF_PHL_V19_HOU_NG,SRC_EEA_2023_SMALL_COMBUSTION,1.A.4.b.i,gaseous fuels,PM2.5,1.2,g/GJ,0.7,1.7,Table 3-4 page 32,Household cooking gas input,Guidebook cannot determine whether PM is filterable or total
EF_PHL_V19_AGR_DIESEL,SRC_EEA_2023_NONROAD_MACHINERY,1.A.4.c.ii,diesel agricultural machinery,PM2.5,1913,g/tonne fuel,,,Table 3-1 pages 22-23,Agricultural motive liquid-fuel input,Tier 1 average fleet; total filterable plus condensable PM
EF_PHL_V19_ROAD_2W_TB,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vi,two-wheelers tyre and brake wear,PM2.5,0.0034,g/vehicle-km,0.0026,0.0042,Table 3-1 page 16,All PHL_TRA_23WHEEL powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_2W_RS,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vii,two-wheelers road-surface wear,PM2.5,0.0016,g/vehicle-km,0.0010,0.0022,Table 3-2 page 17,All PHL_TRA_23WHEEL powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_CAR_TB,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vi,passenger cars tyre and brake wear,PM2.5,0.0093,g/vehicle-km,0.0034,0.0150,Table 3-1 page 16,All PHL_TRA_CAR powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_CAR_RS,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vii,passenger cars road-surface wear,PM2.5,0.0041,g/vehicle-km,0.0024,0.0055,Table 3-2 page 17,All PHL_TRA_CAR powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_LDV_TB,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vi,light-duty trucks tyre and brake wear,PM2.5,0.0139,g/vehicle-km,0.0076,0.0180,Table 3-1 page 16,All PHL_TRA_VAN and PHL_TRA_TRUL powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_LDV_RS,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vii,light-duty trucks road-surface wear,PM2.5,0.0057,g/vehicle-km,0.0024,0.0070,Table 3-2 page 17,All PHL_TRA_VAN and PHL_TRA_TRUL powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_HDV_TB,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vi,heavy-duty trucks buses and coaches tyre and brake wear,PM2.5,0.0316,g/vehicle-km,0.0281,0.0541,Table 3-1 and class definition page 16,All PHL_TRA_BUS and PHL_TRA_TRUH powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_ROAD_HDV_RS,SRC_EEA_2025_ROAD_NONEXHAUST,1.A.3.b.vii,heavy-duty trucks buses and coaches road-surface wear,PM2.5,0.0205,g/vehicle-km,0.0123,0.0277,Table 3-2 and class definition page 17,All PHL_TRA_BUS and PHL_TRA_TRUH powertrains,Primary wear only; resuspension excluded
EF_PHL_V19_COAL_MINE,SRC_EEA_2023_COAL_MINING_HANDLING,1.B.1.a,coal mining and handling,PM2.5,0.005,kg/Mg coal,0.0007,0.07,Table 3-1 page 8,PHL_PRO_EXTR_COAL output activity,Domestic extraction factor includes mine and handling
EF_PHL_V19_COAL_IMPORT,SRC_EEA_2023_COAL_MINING_HANDLING,1.B.1.a,imported coal handling,PM2.5,0.3,g/Mg coal,0.03,3,Section 3.3.2.2 and Table 3-2 page 10,PHL_PRO_IMP_COAL output activity,Handling at receiving harbour only
