year,technology_group,installed_capacity_mw,model_role,boundary,source_url,source_locator
2022,biomass,611,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,solar,1530,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,wind,427,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2022,total,28258,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,coal,12406,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,oil,3737,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,gas,3732,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,geothermal,1952,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,hydro,3799,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,biomass,585,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,solar,1653,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,wind,427,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2023,total,28291,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,coal,13006,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,oil,3448,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,gas,3732,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,geothermal,1952,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,hydro,3836,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,biomass,595,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,solar,2710,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,wind,427,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
2024,total,29706,validation_only,"Grid capacity only; rounded national summary",https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/02_Summary.pdf,Installed Capacity by Plant Type
