assumption_id,statement,central_value,unit,evidence_source_ids,lower_bound,upper_bound,rationale,notes
ASM_ENV_STOCK_FLOW_TOLERANCE,Parallel-stock flow aggregation accepts accumulated source CSV rounding.,0.05,10^3 km2,SRC_ENV_ARTIFACTS;SRC_ENV_METHOD_RECORD,,,,
ASM_PHL_V14_ACTIVITY_STOCK,The validated v13 BASE TotalCapacityAnnual value that served the 2020 observed activity is transferred once into initial effective capacity.,active; replace when physical stock and utilization data are assembled,modeling rule/status,SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,"Moves calibration evidence from an annual activity constraint into an initial stock while retaining time-slice, availability and capacity-to-activity effects already represented by the model.","Sector: End-use sectors without official stock series. Affects: RYT.RC for agriculture heat, industry heat, services heat, navigation, rail and aviation. Replacement evidence: Sector equipment censuses, plant registers, vehicle/vessel/rolling-stock registers and utilization surveys"
ASM_PHL_V14_NUMERICAL_HEADROOM,Positive 2020 effective stocks parsed from the validated v13 CBC results are multiplied by 1.000001 before becoming ResidualCapacity.,active numerical safeguard,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,"The four-decimal TotalCapacityAnnual CSV truncated the services-heat stock enough to leave a 3.91053e-06 time-slice service shortfall. One part per million is below the source reporting precision, preserves the interpreted stock, and is not an activity constraint.",Sector: Inherited effective end-use stocks. Affects: RYT.RC for stock groups whose physical stock is inherited from the validated v13 solution. Replacement evidence: A lossless full-precision result export or independently observed physical stock and utilization data
ASM_PHL_V14_UNIFORM_AGE,"The 2020 stock is uniformly distributed over its operational life, producing a linear residual-capacity decline to zero.",active; sensitivity required,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,Prevents cliff retirement when asset-vintage microdata are unavailable.,Sector: All recalibrated stocks except power. Affects: RYT.RC 2020-2053. Replacement evidence: Age-cohort or commissioning-year distributions
ASM_PHL_V14_ENDUSE_TURN,The base annual adoption allowance is scheduled initial-stock retirement plus the positive increment in service demand converted at the lowest class CapacityToActivityUnit. Each technology's allowance also recursively restores previously allowed new-capacity vintages when they reach that technology's operational life.,active,modeling rule/status,SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,Allows gradual endogenous switching without forcing activity shares and avoids an artificial capacity shortage when endogenous vintages retire later in the horizon.,"Sector: Non-road end uses. Affects: Full-horizon RYT.TAMaxCI adoption series for non-road stock-group technologies. Replacement evidence: Annual equipment sales, retirements and utilization surveys"
ASM_PHL_V14_POWER_PROFILE,Official 2020 capacity totals scale the inherited v13 residual-capacity trajectories proportionally by technology.,active; plant-vintage improvement pending,modeling rule/status,SRC_PHL_V14_DOE_EPIRA_2020;SRC_PHL_V13_CALIBRATION_RECORD,,,Corrects the stock total while retaining inherited retirement timing until a unit-level plant register is constructed.,"Sector: Power. Affects: RYT.RC for eight existing generation technologies. Replacement evidence: DOE plant-level installed capacity, commissioning, retirement and dependable-capacity register"
ASM_PHL_V14_COOK_MAP,LPG and kerosene map to COOK_OIL; wood and other map to COOK_BIOM; charcoal maps to the legacy COOK_COAL technology; electricity maps to COOK_ELE.,active with known charcoal proxy limitation,modeling rule/status,SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020,,,Uses every published primary-fuel category while preserving the existing technology and commodity structure.,Sector: Household cooking. Affects: RYT.RC cooking mix. Replacement evidence: A dedicated charcoal commodity/technology and detailed HECS appliance/fuel microdata
ASM_PHL_V14_COOK_LIFE,Cooking operational lives are 10 years except biomass stoves at 8 years.,engineering assumption; sensitivity required,modeling rule/status,SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020,,,The inherited 15-year life is long for household cooking appliances and no public Philippine survival curve was located.,"Sector: Household cooking. Affects: RT.OL, RYT.RC and cooking turnover ceiling. Replacement evidence: HECS appliance ages, sales, retirement or survival data"
ASM_PHL_V14_ROAD_MAP,"LTO cars, buses and motorcycles/tricycles map directly; v13 effective light-truck, heavy-truck and van stocks are retained because LTO truck and utility-vehicle categories do not map one-to-one to the model service classes.",mixed official/inherited mapping,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,Avoids falsely assigning all utility vehicles to vans or reducing effective freight stock below the service demand implied by the model.,Sector: Road transport. Affects: RYT.RC road fleet. Replacement evidence: LTO body-type/use/fuel microdata reconciled to passenger-km and freight-km classes
ASM_PHL_V14_ROAD_TURN,"The 2020 LTO new-registration count is the annual class market allowance, scaled in later years by the corresponding service-demand index and applied separately to each technology; truck registrations are split by the validated v13 BASE 801:94.8125 light/heavy effective-stock ratio.",active base-market assumption,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,"Constrains how quickly any one powertrain can enter without prescribing fuel choice. Because the native constraint is per technology, the sum of all powertrains can exceed the observed class registration total; this is a documented numerical-performance compromise.","Sector: Road transport. Affects: Full-horizon RYT.TAMaxCI adoption series for road stock-group technologies. Replacement evidence: Annual registrations, scrappage, imports, sales and fuel/powertrain shares by model class"
ASM_PHL_V14_TECH_ADOPTION_CAP,"Each member technology receives the class annual replacement/registration series as its TotalAnnualMaxCapacityInvestment in every year. The series limits the rate at which any one option can take over, but is not a hard aggregate class-sales cap.",active formulation choice,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,"The local OSeMOSYS NCC1 equation applies the bound directly to NewCapacity without TAL/TAU or fuel/activity shares and without a finite release year. Exact aggregate UDC and permit-network formulations both timed out at 280 seconds, while the no-aggregate optimum showed a 64.25-point maximum annual activity-share change across five classes. Per-technology adoption ceilings reduced that maximum to 37.28 points and eliminated the >25-point cooking and industrial-heat events, but four classes still exceed 25 points because available-stock utilization remains endogenous.","Sector: All recalibrated stock classes. Affects: RYT.TAMaxCI for every recalibrated stock-group member in 2020-2053. Replacement evidence: Technology-specific annual sales, registrations, installations, retirements and market-share data; or an upstream aggregate capacity-investment formulation with demonstrated CBC performance"
ASM_PHL_V14_INIT_NCI,New capacity investment is zero in 2020 for recalibrated end-use stocks and explicitly listed physical power/fuel-conversion capacities; zero-cost sectoral electricity pass-through technologies remain capacity-free. 2020 is the physical-stock initialization year and endogenous replacement begins in 2021.,active,modeling rule/status,SRC_PHL_V14_LTO_AR_2020;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_PSA_CPH_2020;SRC_PHL_V14_PSA_PSY_2020;SRC_PHL_V13_BASE_CAPACITY_RECORD,,,"Prevents the optimizer from rewriting physical initial stocks without disabling the model's zero-cost pass-through technologies, which use dummy new capacity rather than residual capacity.",Sector: Recalibrated sectors. Affects: RYT.TAMaxCI 2020 for physical stock technologies only. Replacement evidence: A pre-2020 investment vintage structure or a model horizon beginning after the stock observation date
ASM_PHL_V14_RESOURCE_LIMIT,"For 2020-2024, observed renewable dispatch upper bounds are replaced by the same technical activity ceilings used from 2025 onward.",active,modeling rule/status,SRC_PHL_V13_CALIBRATION_RECORD,,,Removes historical dispatch reproduction while retaining resource availability limits.,"Sector: Power. Affects: RYT.TAU for wind, solar, hydro and geothermal. Replacement evidence: Updated renewable resource, hydrology and geothermal production potential studies"
ASM_PHL_V14_HEAT_SYSTEM_BOUNDARY,The model excludes a national delivered geothermal-heat commodity until a site-specific demand and delivery chain is evidenced; reported small bathing/swimming direct use is not treated as a one-for-one coproduct of electricity generation.,active model-boundary decision,modeling rule/status,SRC_PHL_V14_DOE_EBT_PRIMER_2021;SRC_PHL_V14_IRENA_SEA_2018;SRC_PHL_V13_CALIBRATION_RECORD;SRC_PHL_V14_WGC_DIRECT_USE_2020,,,"The inherited branch had no sink or demand and duplicated geothermal electricity activity one-for-one. WGC reports only 0.01265 PJ/year of Philippine direct use in 2019, all bathing/swimming, versus 60.8046 PJ of phantom model heat in 2020.","Sector: Power and direct geothermal use. Affects: Removal of PHL_POW_HEAT, PHL_POW_HEAT1 and the PHL_POW_GEO_OLD heat OAR. Replacement evidence: Site-specific direct-use resource temperature, useful-heat demand, delivery network, efficiency, capacity, utilization and cost data"
ASM_PHL_V13_PM25_FACTOR_SELECTION,"Use the workbook-v5 recommended PM2.5 technology factors, with EDGAR as a benchmark rather than unquestioned national ground truth.",workbook-v5 selected factors,calibration choice,SRC_PHL_V13_EDGAR_WORKBOOK_RECORD;SRC_PHL_V13_CALIBRATION_RECORD,,,The retained v13 record documents the provisional hierarchy and selected values.,Power and navigation remain provisional.
ASM_PHL_V13_BLUE_H2_CAPTURE,Blue hydrogen captures 70% of the CO2 associated with its natural-gas input.,0.70,fraction,SRC_PHL_V13_CALIBRATION_RECORD,,,Exact implementation and annual values are retained in the calibration record.,A source-specific capture study was not retained.
ASM_PHL_WATER_NATIONAL_BOUNDARY,"Represent the Philippines as one national region with shared PHL_WTR_SUR and PHL_WTR_GWT pools; the eight LNDAGRPHLC classes are coefficient classes, not basins or aquifers.",one national water balance,boundary,SRC_PHL_INHERITED_BASE_SNAPSHOT SRC_PHL_V14_CASE SRC_CLEWS_PHL_GEOSPATIAL SRC_PHL_V15_MANIFEST,,,"Matches the actual one-region model topology and avoids inventing absent transfer, basin or aquifer structure.",No local-scarcity claim follows from a national cap.
ASM_PHL_ERA5_1991_2020_ANCHOR,Use the ERA5 1991-2020 national precipitation climatology as the 2020 normal for rebasing inherited hydrology.,2658.12,mm/year,SRC_WB_CCKP_ERA5_PHL_NORMAL SRC_WB_CCKP_ERA5_PHL_TS SRC_PHL_WATER_SNAPSHOT,,,Provides a current internally consistent 30-year national normal; ERA5 is reanalysis rather than the PAGASA gauge authority.,2024-2025 provisional annual data are retained only as context.
ASM_PHL_SSP245_MEDIAN_ONLY,Install one SSP2-4.5 ensemble-median precipitation pathway as the RCP4.5-equivalent central path.,SSP2-4.5 median,scenario choice,SRC_WB_CCKP_CMIP6_PHL_HIST SRC_WB_CCKP_CMIP6_PHL_SSP245_2030 SRC_WB_CCKP_CMIP6_PHL_SSP245_2050 SRC_IPCC_AR6_SSP245,,,SSP2-4.5 shares the 4.5 W/m2 forcing class requested but is not the identical RCP4.5 socioeconomic or model experiment.,The user chooses any additional scenarios; none are preinstalled.
ASM_PHL_P10_P90_METADATA_ONLY,Retain CCKP p10 and p90 values in the evidence snapshot but do not create predefined model scenarios.,not installed,scenario status,SRC_PHL_WATER_SNAPSHOT SRC_WB_CCKP_METADATA,,,Separates evidence from scenario selection and follows the user's instruction to install only the median.,"p10 is drier than the reference in both projection windows, so sign uncertainty remains visible."
ASM_PHL_SSP245_LINEAR_ANNUALISATION,"Represent 20-year CMIP6 climatologies at midpoint years 2030 and 2050, linearly interpolate annual multipliers, and continue the 2030-2050 slope through 2053.",piecewise linear,annualisation method,SRC_WB_CCKP_METADATA SRC_PHL_WATER_SNAPSHOT,,,OSeMOSYS requires annual values while CCKP publishes period climatologies; the interpolation is transparent and reproducible.,"This is a modeling assumption, not an annual forecast."
ASM_PHL_HYDROLOGY_UNIFORM_SCALING,"Apply the combined ERA5 rebase and SSP2-4.5 multiplier to precipitation IAR and surface-water, groundwater and evapotranspiration OARs for all eight coefficient classes and all 30 modes.",same annual factor on four water ratios,coefficient rule,SRC_PHL_INHERITED_BASE_SNAPSHOT SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,,Preserves each inherited mode's hydrological split and closure ratio while moving the national water envelope with precipitation.,AGRWATPHL irrigation coefficients are not scaled.
ASM_PHL_POTENTIAL_FLOW_CEILINGS,Use 125.79 km3/year surface-water potential and 20.2 km3/year groundwater potential as national annual gross-withdrawal sensitivity ceilings.,125.79 surface; 20.2 groundwater,km3/year,SRC_DEPDEV_WATER_POLICY_NOTE SRC_PDP_2023_2028_CH12 SRC_PSA_WATER_ACCOUNTS_2020 SRC_FAO_AQUASTAT_METHOD SRC_PHL_WATER_SNAPSHOT,,,These are the available national planning figures and are explicitly labeled potential-flow sensitivities; the PSA abstraction account is retained only to disclose the differing boundary.,"They are not dependable yield, environmental-flow-adjusted availability, aquifer stock or safe yield."
ASM_PHL_CAPS_SCALE_WITH_MEDIAN_PRECIP,Scale both national potential-flow ceilings with the same SSP2-4.5 annual precipitation multiplier used for hydrology.,cap[y] = cap[2020] * median_multiplier[y],rule,SRC_PHL_WATER_SNAPSHOT SRC_WB_CCKP_CMIP6_PHL_SSP245_2030 SRC_WB_CCKP_CMIP6_PHL_SSP245_2050,,,Provides a transparent climate-linked national sensitivity in the absence of a calibrated runoff/recharge response model.,This proportional response is an assumption and should be replaced by hydrological modeling when available.
ASM_PHL_GWT_IRRIGATION_ONE_TO_ONE,Require DEMAGRGWTPHL to consume one unit of PHL_WTR_GWT for each unit of irrigation-water activity in its single active mode.,1,km3/km3 activity,SRC_PHL_INHERITED_BASE_SNAPSHOT SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,1,1,Technology activity and raw-water commodity share the same 10^9 m3 unit; the 1:1 pass-through closes the missing physical link.,Existing pumping-electricity input is retained; pumping energy and lift are not recalibrated.
ASM_PHL_POLICY_INHERITANCE,"Put water coefficients and constraint values in SC_0 BASE and preserve null/inheritance rows for COAL_PHASEOUT, RE and EV scenarios.",BASE values; policy rows null,scenario convention,SRC_PHL_INHERITED_BASE_SNAPSHOT SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,,Preserves existing scenario semantics and prevents duplicated hard-coded policy data.,All four existing scenarios remain; no water scenario is added.
ASM_PHL_NO_GROUNDWATER_STOCK,"Do not initialize groundwater storage, head, depletion or aquifer-specific recharge because available evidence does not support those states in this one-region model.",no stock state,boundary,SRC_PDP_2023_2028_CH12 SRC_PIDS_REGIONAL_WATER SRC_PIDS_METRO_CEBU_GW SRC_MGB_REGIONAL_GW SRC_FAO_AQUASTAT_METHOD,,,"National potential flow and categorical maps cannot be converted to stored volume or safe yield without aquifer geometry, thickness, storage coefficient, head and discharge data.",The local MUIO formulation fixes StorageLevelYearStart to zero and is not used as groundwater stock.
ASM_PHL_ENV_WATER_LEDGER_AUTHORITY,Use the full-precision post-solve national_water_ledger.json as the authoritative water publication; treat ENV_WATER activity as an unforced zero-cost diagnostic only.,authoritative external ledger,reporting boundary,SRC_PHL_V15_LEDGER SRC_PHL_V15_VALIDATION SRC_MUIO_FORMULATION,,,The existing ENV_WATER terminal is not solver-forced and may take arbitrary cost-degenerate activity.,"The ledger reconstructs flows from CBC activities, EBb4 balances, UDC rows and duals."
ASM_PHL_IRRIGATION_EFFICIENCY_38,Represent inherited net crop-water requirements as gross diversions using one national irrigation efficiency.,0.38,fraction,SRC_PHILRICE_IRRIGATION_EFFICIENCY,,,The 38 percent observation provides the simplest documented bridge from crop water requirement to gross diversion.,It does not constrain irrigated area or prescribe irrigation uptake.
ASM_PHL_PUBLIC_WATER_70_LPCD,Represent delivered public-water demand at 70 litres per person per day.,70,litres/person/day,SRC_PSA_WATER_ACCOUNTS_2020;SRC_PSA_CBPP_2020_SCENARIO2,,,The single national coefficient keeps demand transparent and population-driven while remaining close to the inherited 2020 public-water scale.,Replace with a documented national delivered-use series when available.
ASM_PHL_PUBLIC_NRW_25,Represent non-revenue water as a constant share of public-water production.,0.25,fraction,,,,A single loss factor distinguishes delivered final demand from required utility production without adding a utility submodel.,No source split or utility activity is forced.
ASM_PHL_GWT_PUMP_HEAD_50M,Represent national-average groundwater dynamic head for public and power water pumping.,50,metres,,,,A single engineering head gives groundwater pumping a physical electricity cost in the one-region model.,Replace with source-specific dynamic heads when available.
ASM_PHL_GWT_PUMP_EFFICIENCY_70,Represent combined pump and motor efficiency for public and power groundwater pumping.,0.70,fraction,,,,A single engineering efficiency is sufficient for the existing aggregate groundwater routes.,Replace with utility or facility observations when available.
ASM_PHL_IRRIGATED_AREA_ENDOGENOUS,"Keep irrigated activity endogenous; represent observed infrastructure only as available initial capacity and never as a demand, lower bound, share or user-defined constraint.",2.006,million hectares,SRC_PSA_SSAF_2022;SRC_FAO_STATISTICAL_YEARBOOK_2022,,,Food demand and the relative yields costs land availability and water requirements determine whether available irrigation is used.,The older approximately 1.7 Mha benchmark is the FAO 2015 value; the model base-year cross-check is 2.006 Mha in 2020. Alert the user instead of adding a forcing device if a mismatch remains.
ASM_PHL_IRRIGATION_STOCK_CONTINUES,Treat the observed 2020 irrigation service area as maintained available capacity through the horizon; use is optional and new expansion remains endogenous.,2.006,million hectares,SRC_PSA_SSAF_2022;SRC_FAO_STATISTICAL_YEARBOOK_2022,,,The one-region case has no national age distribution with which to construct retirements; constant maintained capacity is the simplest non-forcing stock representation.,Mapped to high-input irrigated rice because the national source does not split irrigation service capacity by model crop and input class; this limitation is disclosed in GAPS.csv.
ASM_PHL_RAINFED_AREA_PHYSICAL,Treat 2020 rainfed palay harvested area as physical rainfed rice area because one annual rainfed crop is the simplest national interpretation.,1.47,million hectares,SRC_PSA_SSAF_2022,,,Unlike irrigated rice the national table gives no separate rainfed service area or cropping-intensity series.,This initializes available rainfed capacity and does not require its use.
ASM_PHL_RICE_EFFECTIVE_ANNUAL_YIELD,Calibrate rice OAR as annual production per physical land area; irrigated productivity therefore includes the observed multiple-cropping effect.,rainfed 0.3210884354; irrigated 0.7263210369,Mt per 1000 km2,SRC_PSA_SSAF_2022,,,Land activity is annual physical area rather than harvested-event area; irrigated harvested area divided by service area implies about 1.62 crops/year.,Inherited GAEZ cluster ratios are retained by one regime-specific multiplier.
ASM_PHL_RICE_COSTS_CONSTANT,Use the closest national irrigated and non-irrigated palay cost per kilogram as constant real production costs over 2020-2053.,irrigated 12.49; rainfed 13.95,PHP/kg,SRC_PSA_SSAF_2022,,,One observed national cost pair is simpler and more defensible than the inherited token 0.0001 cost.,Future real input-price and productivity paths remain an evidence gap.
ASM_PHL_NEW_IRRIGATION_COST_PROXY,Use the DA-PRDP indicative irrigation-system unit cost as the marginal capital cost of endogenous irrigation expansion.,300000,PHP/ha,SRC_DA_PRDP_IBUILD_2024,,,It replaces an inherited value equivalent to only USD300/ha with a current generic Philippine planning value.,The value is indicative rather than a realized national project-cost average and does not distinguish irrigation technology.
ASM_PHL_NEW_IRRIGATION_LIFE,Use a 30-year operational life for endogenous new irrigated-rice capacity.,30,years,SRC_JICA_MMIPII_30YEAR,,,A Philippine irrigation appraisal provides a source-backed asset life in place of the inherited generic 15 years.,Applied only to the existing high- and low-input irrigated-rice land options; no capacity or activity is required.
ASM_PHL_V16_NATIONAL_ACHIEVED_YIELD,Use 2020 national achieved production per unit of unit-matched area as the absolute crop OutputActivityRatio; do not use absolute GAEZ attainable potential as achieved yield.,2020 achieved yield,t/ha,SRC_PSA_OPENSTAT_AGRICULTURE_2020;SRC_FAOSTAT_PHL_SELECTION;SRC_PHL_V16_CROP_YIELD_INPUTS,,,Potential is a ceiling or benchmark and is not an observation of achieved output per land activity.,Applied uniformly across the eight existing clusters because a compatible subnational achieved-yield series is not frozen.
ASM_PHL_V16_AREA_BASIS,Use irrigation service area for irrigated rice; use harvested/planted area as the available national physical-area proxy for rainfed rice and the retained crop groups.,crop-specific 2020 area basis,ha,SRC_PSA_SSAF_2022;SRC_PSA_OPENSTAT_AGRICULTURE_2020;SRC_FAOSTAT_PHL_SELECTION;SRC_PHL_V16_CROP_YIELD_INPUTS,,,This is transparent and unit matched but does not separately identify multiple cropping on annual harvested-area observations.,Observed areas remain benchmark-only; no crop activity equality or share is added.
ASM_PHL_V16_FRESH_CANE_DEFINITION,CRPSGC represents fresh sugar cane and therefore uses fresh-cane tonnes per harvested hectare rather than GAEZ kg sugar per hectare.,fresh sugar cane,t fresh cane,SRC_PSA_OPENSTAT_AGRICULTURE_2020;SRC_GAEZ_PHL_RASTER_MANIFEST;SRC_PHL_V16_CROP_YIELD_INPUTS,,,The inherited GAEZ sugar-output coefficient is not dimensionally compatible with the model demand commodity.,No sugar-equivalent commodity or conversion technology is added.
ASM_PHL_V16_RETAINED_CROP_AGGREGATES,Retain CRPTOM as Other vegetables fresh n.e.c. and CRPOTH as the existing five-component other-crop aggregate; use aggregate-matched production and area rather than a tomato dry-matter proxy.,existing CRPTOM and CRPOTH aggregates,model crop groups,SRC_FAOSTAT_PHL_SELECTION;SRC_GAEZ_PHL_RASTER_MANIFEST;SRC_PHL_V16_CROP_YIELD_INPUTS,,,Changing the coefficients and descriptions resolves the present unit/definition defect without introducing new model objects.,Composition changes within either aggregate remain outside the current model resolution.
ASM_PHL_V16_AQUASTAT_BENCHMARK_ONLY,Use the AQUASTAT withdrawal/requirement pairs only as disclosed national boundary benchmarks; do not install either ratio as irrigation efficiency or constrain model withdrawal with them.,benchmark only,boundary,SRC_FAO_AQUASTAT_PHL_2020_BOUNDARY;SRC_FAO_AQUASTAT_TABLE4_2012;SRC_FAO_AQUASTAT_METHOD,,,The 2006 Table 4 pair is internally comparable while current variable 4250 is broader than irrigation and neither national aggregate resolves crop scheme season or region.,A compatible efficiency parameter requires crop- or scheme-specific gross diversion and net requirement evidence.
ASM_PHL_V16_COCONUT_WHOLE_FRUIT_BOUNDARY,Define CRPCON production and demand as whole coconut with husk; do not interpret or convert it as copra.,whole coconut with husk,t whole fruit,SRC_PSA_OPENSTAT_AGRICULTURE_2020;SRC_PCA_COCONUT_FRUIT_COPRA,,,PSA names the observed production product Coconut (w/ husk) and PCA fruit/copra component data confirm a several-fold mass difference.,A future copra use requires a separate commodity conversion technology and sourced process yield rather than silent rescaling.
ASM_PHL_V16_INVESTABLE_SUFFIX,Interpret the inherited OSeMOSYS Global 01 suffix as investable status and remove the misleading MUIO _T1 resource-tier label.,01 = investable,technology-code meaning,SRC_OSEMOSYS_GLOBAL_TECH_CODES;SRC_PHL_INHERITED_BASE_SNAPSHOT,,,The upstream naming specification explicitly defines 01 as investable and does not define wind or solar resource tiers.,Stable TechId values are preserved; no commodity carries _T1.
ASM_PHL_V16_OFFSHORE_AGGREGATION,Represent the single national offshore-wind option with the technical-capacity-weighted net mean of the seven current Philippine offshore development zones.,0.2847380261587777,fraction,SRC_NREL_PHL_OFFSHORE_CREZ_2025;SRC_PHL_V16_ENERGY_INPUTS,0.2080,0.3528,The model has one aggregated investable offshore technology rather than a zone or resource-tier supply curve.,"The NREL data include 15 percent losses, so wind AvailabilityFactor remains 1 to avoid double derating."
ASM_PHL_V16_OFFSHORE_PROFILE_SHAPE,Preserve the inherited 30-timeslice relative offshore-wind shape and scale every nonzero value by one common factor to the sourced annual mean.,1.4656121710190289,profile multiplier,SRC_NREL_PHL_OFFSHORE_CREZ_2025;SRC_PHL_V16_ENERGY_INPUTS;SRC_PHL_INHERITED_BASE_SNAPSHOT,,,The report establishes annual and seasonal behavior but the exact hourly zone files were not frozen into this build; uniform scaling preserves the existing adequacy shape without fabricating hourly observations.,A future hourly rebuild is recorded as a gap.
ASM_PHL_V16_GEOTHERMAL_AVAILABILITY,Restore the inherited engineering availability factor of 0.9 for the existing geothermal technology; use observed 2020 utilization only as a validation benchmark.,0.9,fraction,SRC_PHL_INHERITED_BASE_SNAPSHOT;SRC_PHL_DOE_CAPACITY_2020;SRC_PHL_DOE_GENERATION_2023,0,1,"Availability 1.0 incorrectly assumes no planned or forced outage; directly fitting the 2020 utilization outcome would conceal dispatch, steam-field and outage drivers.",The existing 4 GW capacity ceiling remains unchanged and limits annual output to 113.5296 PJ at 0.9 availability.
ASM_PHL_V16_ONSHORE_SCREEN,Use the NREL/USAID restricted land-use screen as the continuing national onshore-wind technical resource ceiling.,663.84,PJ/year,SRC_NREL_USAID_SEA_RE_2020;SRC_PHL_V16_ENERGY_INPUTS,,,The stricter screen excludes land that is not realistically available and replaces an unsupported 1594.08 PJ ceiling.,"This is an upper resource limit, not an observed generation target."
ASM_PHL_V16_CONSERVATIVE_PADDY_ENGINEERING,Use FAO's conservative heavy well-puddled clay values where cluster paddy-soil measurements are absent: 200 mm saturation 2 mm/day percolation for 100 days and 50 mm standing water.,450,mm/crop,SRC_FAO_PADDY_SCHEDULING;SRC_FAO_SCHEME_WATER_NEED;SRC_FAO_RICE_WATER_REQUIREMENT,450,450,This is the documented lower engineering case and avoids selecting a sandy high-loss value without cluster soil evidence.,Cluster soil measurements are a high-priority gap.
