item,why_absent,upgrade_source,priority,notes
Philippine first-of-a-kind SMR project cost,No Philippine SMR has a financed project cost or operating record.,Bankable Philippine vendor EPC financing owner cost and contingency study.,high,"The NREL 8000 USD/kW benchmark is a central technology proxy, not a project quote."
Long-term Philippine technology deployment scaling after 2029,"The 2030-2053 expansion envelopes are defensible policy-neutral upper bounds rather than forecasts of supply-chain, permitting, finance or grid capability.","Annual Philippine project pipeline, interconnection queue, permitting duration, domestic construction capacity, finance closures and transmission commissioning plan by technology.",high,Sensitivity testing is required for policy conclusions that bind on these later-period envelopes.
Distinct geothermal greenfield and existing-field repowering costs,"PHL_POW_GEO_OLD is the only geothermal technology, so expansion and replacement allowances share one inherited cost, performance and lifetime representation.","Philippine field-specific greenfield exploration/EPC and existing-field make-up drilling, refurbishment, lifetime and performance evidence.",high,No geothermal technology or commodity is added in this implementation.
AQUASTAT irrigation-boundary mismatch,The benchmark is net crop requirement while model source activity is gross withdrawal and modeled delivery applies losses.,"Reconcile NIA diversions, irrigated area, crop calendars, conveyance, application and return flows.",high,No demand or activity equality is added.
Groundwater infrastructure and source split,"Observed national source share is not a physical sectoral capacity; adequate stocks, safe yields and pumping-cost evidence are unavailable.","NWRB permits, aquifer safe yields, pumping depths and infrastructure stocks by service area.",high,"Zero groundwater is disclosed, not repaired with a fixed share."
Livestock climate scope,"No physical livestock stock, product, feed or manure activity exists in the model.",Add a traceable physical livestock sector before emissions accounting.,high,Do not claim national-agriculture completeness.
Agriculture heat fuel-mix validation,"Correct input costs may reveal distorted relative fuel economics; DOE 2024 energy and electricity share are benchmarks, not constraints.","Technology-specific agriculture heat stock, lifetime, fuel price and process evidence.",high,No fuel-share anchoring is permitted.
Partial land carbon pools,"Post-solve screen omits soil, deadwood, litter and harvested wood products.",Philippine land-transition matrix and inventory carbon pools.,high,Reported as partial rather than complete FOLU.
FIT incidence and financing,"The model has no household tariff, utility revenue or public-finance account, so a domestic feed-in-tariff transfer has no modeled payer.",Add an explicit distributional or fiscal account before treating FIT payments as welfare costs or revenues.,medium,Current runs publish gross generator receipts post-solve and retain only physical residue cost in the optimizer.
"Truck stock, survival, utilization and powertrain availability","The light/heavy freight stocks remain model-derived and aggregate LTO categories do not map one-to-one to freight classes; fuel-specific registrations, age cohorts and infrastructure availability are not retained.","LTO body-type/use/fuel microdata, deregistrations and age cohorts reconciled to freight service; observed vehicle-km and load factors; NG, hydrogen and EV market/infrastructure start dates.",high,The repair removes deterministic scarcity but does not claim the resulting endogenous non-EV powertrain mix reproduces history.
Plant-level cooling-system/source mapping,"The national model has fuel/technology aggregates but no condenser type, cooling loop or intake source by plant.","Plant-level cooling technology, withdrawal, consumption and freshwater/seawater intake register.",high,NREL withdrawal medians correct the scale; the technology mapping remains conservative and disclosed.
Technology-specific forced-outage and capacity-credit series,"DOE publishes dependable/nameplate values for the legacy aggregate fleets, not every prospective technology over 2020-2053.",Philippine plant-class outage histories and accredited capacity by reserve product.,high,New thermal AF/credit values are transparent planning assumptions; no dispatch is fitted.
Domestic biofuel feedstock chain,"A reconciled crop, residue, land, conversion-yield and trade balance is not available in the case.","Separate ethanol/biodiesel feedstock, conversion, import and blend commodities with land/resource reconciliation.",high,V23 disables the undefined domestic processor and uses a positive-cost border import instead.
Charcoal production and trade chain,"The model lacks kiln yields, wood source, charcoal prices and trade statistics.","Add explicit wood-to-charcoal conversion, sustainable feedstock, price and trade objects.",high,V23 retains only the closed initial stove stock as a biomass-energy proxy.
Storage and network deliverability in reserve accounting,The national copperplate has no zonal transmission topology and the reserve UDC uses annual grid throughput.,"Grid peak by region, interconnector transfer limits, reserve accreditation, outage distributions and storage capacity credit.",high,The timeslice balance still enforces energy adequacy; the reserve UDC adds a conservative firm-capacity planning margin.
Package 1 BASE solve-time regression,BASE wall time rose 46.5% even though the v23 presolved matrix is smaller; CBC iterations rose 29.9% and the reserve inequality binds in 25 years.,A controlled one-change diagnostic A/B with the reserve family removed if exact attribution becomes decision-relevant.,medium,Evidence points to harder simplex geometry from binding adequacy coupling and interacting corrections; no extra optimizer run was spent solely on attribution.
Endogenous crop/forest biomass availability,V28 uses an evidence-based annual BASE trajectory calculated offline to avoid the runtime and interdependency cost of global crop/forest coupling.,Reintroduce crop- and land-responsive supplies only with a numerically sparse formulation and a dedicated scenario-aware runtime A/B.,high,The annual ceiling varies with retained crop-demand and productivity evidence but does not respond to endogenous crop allocation or forest area.
"Separate generated, collected and uncollected biomass reporting",The minimal boundary reports delivered supply by destination but not physical residue generation or unused potential.,"A sparse physical residue account with soil-retention, open-burning and collection emissions.",medium,"This detail is not required to correct the price, shared-CHP feedstock or cooking defect."
Official long-run domestic biomass resource outlook,No official reconciled 2021-2053 crop-residue and sustainable-wood projection was identified; V28 uses one transparent central trajectory.,"Official long-run crop, forest-cover, sustainable-harvest and residue-recovery scenarios.",high,"The installed annual caps are model-consistent central BASE data, not an official Philippine forecast."
Fuel-specific household cooking-energy calibration,DOE reports total household fuel use and PSA reports primary cooking fuel by household but the available tables do not provide 2020 fuel-specific cooking-only energy. The promoted 105.436 PJ useful-service value is therefore a transparent proxy not an exact end-use balance.,A nationally representative household energy survey reporting cooking-only quantities by fuel and device with matching stove efficiencies.,high,Use the observation to recalibrate final demand and initial stocks; do not force fuel shares or activity. The 2020 cooking PM2.5 benchmark is not improved by the present proxy.
Crop-specific long-run productivity projections,Comparable official forward yield paths are not available for all six model aggregates.,DA/PSA crop-specific outlooks or peer-reviewed Philippine projections on a consistent harvested-area basis.,medium,v24 uses one transparent 1% land-productivity assumption after observed 2024 anchors; scenario selection remains with the user.
Irrigation stock vintages and non-rice service allocation,The NIA total does not identify scheme commissioning/rehabilitation ages or crop allocation.,"NIA scheme-level commissioning, rehabilitation, service-area and crop records.",high,The v23 rice stock is maintained; no 69/31 share or retirement curve is forced.
Input-specific fertilizer N2O,No consistent fertilizer-N application rates are mapped to high/low crop modes and clusters.,PSA fertilizer use by crop/region plus IPCC direct and indirect N2O equations.,high,v24 installs the inventory-calibrated average on all managed crop modes rather than assigning zero emissions to low-input farming.
Land-use-change GHG in the LP,"Land conversion is a change in carbon stock, not a recurring annual activity factor.",Transition-specific activity-change coefficients with complete biomass and soil pools.,medium,Do not add recurring land-use-change EARs to annual crop production.
VariableCost upstream: crop production cost per kilogram,"PSA cost-and-returns surveys exist for palay only: OpenSTAT tables 5.5, 5.6 and 5.7. Folder 3S/C5 was enumerated table by table and there is no maize, coconut, sugarcane, tomato or vegetable cost-and-returns table.","Request the crops cost-and-returns micro-data from PSA, or use Department of Agriculture regional cost-of-production surveys.",high,160 non-rice crop-mode cells rest on ASM_COST_RATIO rather than an observed cost.
VariableCost upstream: any PSA publication PDF,"psa.gov.ph returns HTTP 403 behind a Cloudflare security-verification interstitial for every publication PDF, including Selected Statistics on Agriculture and Fisheries 2022. The challenge was not bypassed.",Download the yearbook from an interactive browser session and place it in evidence/.,high,The 2021 palay cost per kilogram could not be re-verified against the printed source. It was taken from the existing ledger entry and validated arithmetically against the case instead.
VariableCost upstream: power generation variable O&M,"No Philippine source publishes technology-level non-fuel variable operating cost. Checked: PSA OpenSTAT folder 3S/C14 holds only supply, generation, capacity and consumption tables (14.1a to 14.17), no cost tables; the Annual Survey of Philippine Business and Industry reports total expense by industry, not by generating technology; the DOE Power Development Plan tables give capacity and generation, not O&M.","Ask the Energy Regulatory Commission for the fuel and non-fuel cost components in generation rate filings, or NPC and PSALM audited statements for plant-level O&M.",high,"All 18 power proposals fall to tier 2, the US EIA, under ASM_EIA_PROXY."
"VariableCost upstream: PHL_POW_ELEC, PHL_POW_BH2_NG, PHL_POW_GH2_NG, PHL_POW_GH2_COAL, PHL_POW_DAC, PHL_POW_SYNTH, PHL_POW_TECH_AMMO","EIA AEO2023 Table 1 covers electricity generation only and has no row for electrolysis, steam methane reforming, coal gasification, direct air capture, Fischer-Tropsch synthesis or ammonia synthesis. No source located at cell level in this pass.","IEA Global Hydrogen Review technology annex; IRENA Green Hydrogen Cost Reduction; for direct air capture, Keith et al. (2018) in Joule and the IEA DAC technology brief. Note that most of these report O&M as a percentage of capital cost per year, which belongs in FixedCost, not here.",medium,"Seven technologies keep the placeholder with no proposal, so in the model they convert energy at essentially zero non-fuel cost."
"VariableCost upstream: PHL_PRO_PROC_OIL, PHL_PRO_PROC_NG, PHL_PRO_PROC_COAL, PHL_PRO_PROC_BIOF","No published non-fuel operating cost for Philippine refining, gas processing, coal preparation or biofuel production. DOE publishes retail price build-ups, not refinery operating cost, and a search for the DOE bioethanol and biodiesel reference prices returned only blending-mandate circulars, not the price tables.",DOE Oil Industry Management Bureau for refinery cost build-ups; the Sugar Regulatory Administration for the bioethanol reference price; USDA FAS Manila Biofuels Annual as a secondary source.,high,"Four processing technologies keep the placeholder. PHL_PRO_PROC_BIOF is the worst case: it has no input commodity at all, so with a placeholder VariableCost the model makes biofuel out of nothing at almost zero cost."
"VariableCost upstream: PHL_TRA_AVI_LIQ, PHL_TRA_SHIP_LIQ, PHL_TRA_SHIP_AMMO, PHL_TRA_RAILF_ELE/LIQ/H2, PHL_TRA_RAILP_ELE/LIQ/H2","These nine technologies cannot be priced because their unit basis is inconsistent. Their CapitalCost is a whole-vehicle price - 89,000 MUSD per 10^3 aircraft is 89 million USD each - but their activity is not vehicle-kilometres. Shipping carries 393.99 x 10^9 activity units in 2020 at 0.084 PJ each, which is 0.084 MJ per unit, a tonne-kilometre figure, not a ship-kilometre figure. Aviation is 12.4 MJ per unit, an order of magnitude below the roughly 130 MJ an aircraft burns per kilometre. Rail is 88 MJ per unit, which is a train-kilometre. ResidualCapacity is correspondingly unusable: 3.94 million ships and 2 trains.","Restate the non-road transport block on one explicit basis, then price it. Philippine activity denominators exist: PSA Philippine Statistical Yearbook table 13.1 (railway passengers and revenues), 13.2 (light rail transit), 13.7 (shipping cargo and passengers) and 13.10a (aircraft, cargo and passenger movement by airport).",medium,No variable cost can be proposed for nine technologies until the unit basis is fixed. Their capital costs are wrong by three to four orders of magnitude for the same reason.
"VariableCost upstream: rail, aviation and shipping maintenance cost","PSA transport tables give passengers, revenues and movements but no operating cost. PNR, LRTA and MRTC maintenance expense appears only in Commission on Audit annual audit reports, which were not retrieved. The ADB Mindanao Road Sector economic and financial analysis, which carries a Philippine multi-class vehicle operating cost table, returned HTTP 403.","Commission on Audit annual audit reports for PNR, LRTA and PNOC Shipping; CAAP and MARINA operating statistics.",high,Even once the unit basis is fixed there is no Philippine maintenance cost to apply.
"VariableCost upstream: DEMAGRSURPHL, DEMAGRGWTPHL, PHL_DEM_PUB_SUR_WAT, PHL_DEM_PUB_GWT_WAT, PHL_DEM_PWR_SUR_WAT, PHL_DEM_PWR_GWT_WAT","PSA OpenSTAT folder 3S/C14 holds only the number of water districts (table 14.18) and households served (14.19), with no financial data. LWUA and NWRB cost data was not retrieved. Irrigation service fees were abolished for smallholders by Republic Act 10969 of 2018, so the charge is zero and cannot stand in for the cost.",LWUA annual reports for water district operating expense per cubic metre; NIA statements of operation and maintenance expenditure per hectare.,high,"Six water technologies keep the placeholder. For the two irrigation technologies this is close to correct anyway, because irrigation cost is already inside the crop production cost this pass proposes, and pricing it again would double count."
"VariableCost upstream: PHL_INDU_OTHHPH_BIOM_CCS, PHL_INDU_OTHHPH_COAL_CCS, PHL_INDU_OTHHPH_NG_CCS","Industrial capture has genuine variable cost - solvent make-up, CO2 transport and storage - but the EIA table covers power plants only, and no industrial equivalent was located at cell level.",IEAGHG technical reports; the IEA CCUS technology cost annex.,medium,Three technologies carry no proposal.
"VariableCost upstream: road vehicle maintenance, corroborating sources",Argonne National Laboratory ANL/ESD-21/4 returned HTTP 403 from both publications.anl.gov and the OSTI mirror; the American Transportation Research Institute cost-per-mile report returned 404; World Bank Technical Paper 234 on vehicle operating costs is a scanned image with no text layer; the US DOE presentation van038_Gohlke_2021 uses CID-encoded fonts and yielded no extractable text.,Retrieve through an institutional proxy if an independent check is wanted.,medium,"None. Two Philippine sources were obtained and they agree, so no international corroboration was needed."
"VariableCost upstream: vehicle operating cost, Philippine multi-class table","JICA report 11336724_04.pdf, 'Chapter 11 Vehicle Operating Costs', and 11195799_03.pdf, '16a-1 unit vehicle operating cost - calculation', are scanned CCITT-fax images and yielded zero extractable text.","Run optical character recognition over these two files to recover the per-class parts percentages, which would replace ASM_ROAD_CAPEX_PROPORTIONAL with observed values.",high,"The road proposals rest on the bus row of MMUTIS Table 4.1 alone, extended to other classes by ASM_ROAD_CAPEX_PROPORTIONAL, rather than on an observed per-class table."
VariableCost upstream: jeepney maintenance cost,"The 2017 Transportation Science Society of the Philippines jeepney fare paper defines maintenance as 0.1 times fixed cost, about 18.75 PHP per day over 108 km per day, or 0.17 PHP/km. That is an assumption inside the paper's own model, not an observation, so it was rejected.",n/a,medium,"None. The paper's distance data - 12 km per trip, 9 trips per day, 45 passengers per trip - remains usable for other purposes."
Crop-specific detailed net resource costs for all modeled crops,"The PSA detailed national cost structure is available for palay, not for every modeled non-rice crop and regime.","PSA/Department of Agriculture crop- and ecosystem-specific cost-and-returns microdata with fuel, irrigation, land and financing components.",high,Partly resolved in v29 with PSA/SRA/PCA crop-specific costs and explicit vegetable/other-crop baskets; rubber and broad-aggregate transfers remain disclosed.
Philippine heavy-vehicle drivetrain-specific maintenance,The Philippine anchors distinguish vehicle class but not drivetrain; DOE/Argonne multipliers are light-duty.,"Philippine fleet maintenance records by class and drivetrain, or a heavy-duty component-level maintenance study.",high,Bus and truck BEV/PHEV/FCEV multipliers are LOW-confidence extrapolations.
Philippines v25 generated and solved validation,The user explicitly stopped this task after the clean combined source candidate and before scenario execution.,Run the application generation/preprocessing/LP hash gate and the four isolated scenarios in a later authorized step.,high,"Runtime, optimality, historical reproduction and irrigation/water response are not yet claims of v25."
Crop input-specific yields and physical input rates,V29 sources the per-hectare cost distinction but retains inherited GAEZ high/low yields and average crop GHG coefficients; national fertilizer and pesticide quantities by modeled crop/input/water class were not available in a consistent cluster-ready series.,PSA Costs and Returns microdata or Fertilizer and Pesticide Authority crop-specific application surveys joined to subnational yields and GAEZ clusters.,high,Do not infer physical fertilizer use from cost alone or force low-input shares; inspect solve choices after user-approved optimization.
Shared irrigation stock age and crop allocation,The 2.006 Mha national service stock has no scheme-age survival curve or crop-specific simultaneous service register.,"NIA scheme register with commissioned/rehabilitated area, crop calendars, service reliability and retirements.",high,V29 pools service across crops and carries the maintained residual stock assumption; use is endogenous.
Rubber and tropical-fruit cost transfers,No current national detailed cost table matching the retained other-crops aggregate was found.,"PRRI/PCA/PSA farm-budget microdata for rubber, banana/plantain and the dominant other tropical fruits.",medium,V29 uses roadmap rubber establishment annualization and papaya as a transparent area-weighted proxy instead of a universal palay cost share.
